IP,Protocol,Total_Intentos,Respuestas,Porcentaje_Respuestas,Es_Bloqueante
10.50.3.10,ICMP,1,1,100.0,False
10.50.3.22,ICMP,2,2,100.0,False
10.50.3.9,ICMP,4,4,100.0,False
130.104.228.159,ICMP,1,1,100.0,False
171.75.8.23,ICMP,1,1,100.0,False
191.112.0.1,ICMP,4,4,100.0,False
192.168.1.1,ICMP,4,4,100.0,False
193.191.3.86,ICMP,1,1,100.0,False
212.133.24.90,ICMP,1,1,100.0,False
213.140.39.160,ICMP,1,1,100.0,False
5.161.0.86,ICMP,1,1,100.0,False
5.161.9.171,ICMP,1,1,100.0,False
5.53.0.144,ICMP,1,1,100.0,False
62.115.112.71,ICMP,1,1,100.0,False
62.115.120.176,ICMP,2,2,100.0,False
62.115.123.125,ICMP,1,1,100.0,False
62.115.56.201,ICMP,1,1,100.0,False
62.115.57.79,ICMP,1,1,100.0,False
62.216.128.210,ICMP,1,1,100.0,False
62.216.131.30,ICMP,1,1,100.0,False
80.77.4.60,ICMP,1,1,100.0,False
85.95.25.93,ICMP,1,1,100.0,False
85.95.26.222,ICMP,1,1,100.0,False
94.142.107.213,ICMP,1,1,100.0,False
