IP,Protocol,Total_Intentos,Respuestas,Porcentaje_Respuestas,Es_Bloqueante
10.50.3.10,UDP,3,3,100.0,False
10.50.3.21,UDP,2,2,100.0,False
10.50.3.22,UDP,1,1,100.0,False
10.50.3.9,UDP,1,1,100.0,False
130.104.228.159,UDP,1,1,100.0,False
185.131.204.20,UDP,1,1,100.0,False
191.112.0.1,UDP,4,4,100.0,False
192.168.1.1,UDP,4,4,100.0,False
193.191.3.86,UDP,1,1,100.0,False
212.133.24.90,UDP,1,1,100.0,False
212.161.150.165,UDP,1,1,100.0,False
213.140.39.160,UDP,1,1,100.0,False
213.140.43.206,UDP,1,1,100.0,False
213.140.43.234,UDP,1,1,100.0,False
213.46.186.17,UDP,1,1,100.0,False
5.161.0.82,UDP,1,1,100.0,False
5.161.9.171,UDP,1,1,100.0,False
5.53.3.176,UDP,1,1,100.0,False
62.115.112.69,UDP,1,1,100.0,False
62.115.119.230,UDP,1,1,100.0,False
62.115.120.176,UDP,1,1,100.0,False
62.115.123.125,UDP,1,1,100.0,False
62.115.56.201,UDP,1,1,100.0,False
62.115.57.79,UDP,1,1,100.0,False
62.216.128.210,UDP,1,1,100.0,False
62.216.131.30,UDP,1,1,100.0,False
80.77.4.60,UDP,1,1,100.0,False
84.116.132.177,UDP,1,1,100.0,False
84.20.39.214,UDP,1,1,100.0,False
84.20.40.252,UDP,1,1,100.0,False
85.95.25.93,UDP,1,1,100.0,False
85.95.26.166,UDP,1,1,100.0,False
94.142.107.213,UDP,1,1,100.0,False
