IP,Protocol,Total_Intentos,Respuestas,Porcentaje_Respuestas,Es_Bloqueante
10.50.3.21,TCP,2,2,100.0,False
10.50.3.22,TCP,4,4,100.0,False
10.50.3.9,TCP,2,2,100.0,False
171.75.8.23,TCP,1,1,100.0,False
191.112.0.1,TCP,4,4,100.0,False
192.168.1.1,TCP,4,4,100.0,False
212.133.24.90,TCP,1,1,100.0,False
213.140.43.206,TCP,1,1,100.0,False
213.140.43.234,TCP,1,1,100.0,False
5.161.0.74,TCP,1,1,100.0,False
5.161.9.171,TCP,1,1,100.0,False
5.53.0.144,TCP,2,2,100.0,False
62.115.112.71,TCP,1,1,100.0,False
62.115.119.230,TCP,1,1,100.0,False
62.115.120.176,TCP,1,1,100.0,False
62.115.123.123,TCP,1,1,100.0,False
62.115.136.200,TCP,1,1,100.0,False
62.115.149.65,TCP,1,1,100.0,False
62.115.57.79,TCP,1,1,100.0,False
62.216.128.214,TCP,1,1,100.0,False
62.216.134.210,TCP,1,1,100.0,False
85.95.26.161,TCP,1,1,100.0,False
85.95.26.222,TCP,1,1,100.0,False
